Word,Count
,172
*,63
the,40
if,20
CSS,18
to,16
-,14
of,14
Area,14
MIT,12
rel='stylesheet',11
type='text/css'>,11
for,11
in,10
rules,10
\fonts.googleapis.com/css?family=Open+Sans:400,300,600,700,800'\,9
Firefox,9
The,9
Chrome/Safari,8
IE10+,8
value,8
form,8
array,8
state,8
field,7
Copyright,7
OR,7
is,7
by,7
|,7
that,6
support,6
image,6
Licensed,6
animate,6
have,6
on,6
under,6
THE,6
-------------------------------,6
Bootstrap,6
and,5
a,5
\include"\header.php"\;?>\,5
License,5
add,5
----,5
validation,5
Stripe,5
OF,4
with,4
box,4
Phuoc,4
transform,4
will,4
originally,4
If,4
https://github.com/nickpettit/glide,4
size,4
IE,4
button,4
3,4
Pettit,4
Font,4
IN,4
Etalage,4
Huu,4
vendor,4
Nguyen,4
start,4
authored,4
(c),4
Nick,4
at,3
Width,3
icon,3
makes,3
one,3
Styles,3
plugin,3
do,3
3px,3
(https://github.com/twbs/bootstrap/blob/master/LICENSE),3
text,3
errors,3
2013,3
out,3
your,3
all,3
**,3
SOFTWARE,3
Use,3
Software,3
normalize.css,3
A,3
1px,3
thumbnail,3
pointer-events,3
------------------------------------,3
Awesome,3
jQuery,3
or,3
Inc,3
this,3
Slider,3
#,3
0px,3
\Twitter,\,3
center,3
first,3
Chrome,3
****,2
2011-2017,2
min,2
\itemid='"\.$_REQUEST['id']."\'"\)\,2
@license,2
Opera,2
thal,2
but,2
Show,2
half,2
copies,2
OFL,2
dropdowns,2
jQuery.payment,2
max,2
no,2
uses,2
Large,2
\$result=select("\select\,2
SIL,2
@davegandy,2
git.io/normalize,2
left,2
Content,2
container,2
(optional):,2
demonstration,2
only,2
Popup,2
hi-res,2
Hover,2
id,2
Sweep,2
---,2
input,2
license,2
Query,2
Dark,2
items,2
License),2
types,2
@copyright,2
--//tabs--,2
@fontawesome,2
them,2
ANY,2
area,2
Max,2
&,2
For,2
message,2
notice,2
helper,2
following,2
where,2
regular,2
dialog,2
table,2
Style,2
down-->,2
style,2
\overlay,\,2
FOR,2
]===,2
\1.1,\,2
edit,2
normal,2
To,2
large,2
media,2
library,2
(http://getbootstrap.com),2
extracting,2
--/charts--,2
fields,2
menu-right-->,2
js-->,2
expression,2
Media,2
\fonts.googleapis.com/css?family=Roboto:700,500,300,100italic,100,400'\,2
http://fontawesome.io/license,2
<phuoc@huuphuoc.me>,2
label,2
profile_details-->,2
Magnific,2
===[,2
(Font:,2
Title,2
Fallback,2
Active,2
from,2
CSS:,2
which,2
using,2
IE6,2
--//map--,2
another,2
validate,2
without,2
OTHER,2
@author,2
BootstrapValidator,2
--,2
apear,2
right,2
slide,2
\#07526e,\,2
http://fontawesome.io,2
required,2
\image,\,2
--/footer--,1
\identical,second\,1
--float:,1
height:,1
example,1
github.com/necolas/normalize.css,1
represent,1
Anchor,1
Overlay,1
Min,1
ensure,1
2013-2017,1
larger,1
LIABLE,1
border,1
and/or,1
--/buttons--,1
https://github.com/manifestinteractive/jqvmap,1
--/timeline--,1
Me,1
--------------------------,1
},1
\$cid=mysqli_connect(server,user,password,database)\,1
Welcome,1
11.10+,1
--//weather--,1
--/shrare_tips--,1
--todo--,1
has,1
--footer--,1
AN,1
email,1
Listing,1
whole,1
characters,1
Daniel,1
different,1
5,1
within,1
outer-wp-->,1
page,1
Authors,1
DEALINGS,1
Frique,1
design--,1
Text,1
bars,1
Create,1
thumbnails:,1
Example,1
\error"\);\,1
(https://getbootstrap.com),1
Author,1
associated,1
div,1
\different,\,1
\Software,\,1
subject,1
\restriction,\,1
sourceMappingURL=bootstrap.min.css.map,1
End,1
sourceMappingURL=chart.css.map,1
read,1
some,1
checkbox,1
\FROM,\,1
--login--,1
position,1
Open,1
Features,1
v1.0.0,1
cdn.linearicons.com/free/1.0.0/Linearicons-Free.eot);src:url(https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.eot?#iefix),1
properly,1
no-repeat;,1
identical,1
Version,1
software,1
rectangle):,1
Replace,1
ARISING,1
month/year,1
WARRANTIES,1
--//timeline--,1
@,1
area:,1
obtaining,1
making,1
Title:,1
--//responsive--,1
be,1
8,1
v3.0.0,1
buttons,1
css,1
Menu,1
FUNCTIONALITY,1
drop-shadow(0px,1
Details,1
AND,1
(the,1
currently,1
off,1
API,1
v2.1.5,1
around,1
\sublicense,\,1
--//down--,1
find/replace,1
(optional),1
FF3.6,1
\MERCHANTABILITY,\,1
--/tool-tips--,1
Carousel,1
looks,1
\box,\,1
2011-2014,1
\format('embedded-opentype'),url(https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.woff2)\,1
--/ribbon-11--,1
COPYRIGHT,1
as,1
https://perxis.com,1
http://www.frique.me/,1
middle;,1
included,1
--//circle-charts--,1
2011-2015,1
Hide,1
Progress,1
--typography--,1
NINTH,1
\thumbnails,\,1
--shop--,1
-webkit-filter:,1
Explore,1
show,1
DAMAGES,1
--/profile--,1
section,1
--ribbon3--,1
--forms--,1
IE10,1
Assign,1
--down--,1
--checkout--,1
bottom,1
===========,1
Size,1
Description,1
serves,1
--gallery-ends--,1
frame),1
--responsive,1
*********,1
any,1
64px;,1
Private,1
Mobile,1
\distribute,\,1
--//todo--,1
Examples,1
EXAMPLE,1
remote,1
\IMPLIED,\,1
top,1
\format('woff2'),url(https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.ttf)\,1
helpers,1
default,1
Navigation,1
must,1
--//switch--,1
Icon,1
browsers,1
\use,\,1
dropdown,1
fancyBox,1
--//bottom-grids--,1
/**,1
2014-2015,1
http://jqvmap.com,1
\,\,1
create,1
ACTION,1
--register--,1
publishable,1
--ribbon1--,1
(20120705.1),1
\10+,\,1
helps,1
33%,1
effects,1
Stats,1
Hiding,1
conditions:,1
\"\Software"\),\,1
Pick,1
Animate.css,1
--single--,1
---responsive-----,1
hovering,1
Feature,1
--//forms--,1
NONINFRINGEMENT,1
furnished,1
payments,1
selecting,1
1.3.1,1
\LIABILITY,\,1
https://github.com/h5bp/html5-boilerplate/blob/master/src/css/main.css,1
Fancy,1
4,1
\granted,\,1
none;--,1
know,1
-----------------------------------------------------------------------------------------,1
width:,1
\modify,\,1
graph-visual-->,1
--main--,1
cover,1
Events,1
details,1
\Yes,\,1
(in,1
--ribbon2--,1
free,1
\KIND,\,1
hereby,1
v4.0.0-beta.2,1
BE,1
textarea,1
name,1
doesn't,1
USE,1
radio,1
magnifier,1
dev,1
Better,1
screen,1
files,1
+,1
font,1
TO,1
*****,1
want,1
given,1
--/top_header--,1
--//chat--,1
Fade-zoom,1
animation,1
limitation,1
Small,1
case,1
Section,1
EXPRESS,1
10px,1
\format('truetype'),url(https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.woff)\,1
-->,1
permit,1
\"\AS\,1
--/bottom-grids--,1
RGBa,1
you're,1
Peter,1
including,1
(PUA),1
Oscar,1
Right,1
--//graph--,1
#logo,1
By,1
TORT,1
\vertically"\\,1
WITHOUT,1
perfectly,1
same,1
key,1
header-ends,1
random,1
client-side,1
--/graph--,1
make,1
BUT,1
Footer,1
sourceMappingURL=bootstrap.css.map,1
IE8-9,1
readers,1
after,1
https://linearicons.com/free/license,1
Saf5.1+,1
icons,1
Safari,1
Panel---,1
Base,1
echo,1
https://linearicons.com/free,1
Fork,1
deal,1
(large,1
Breadcumb,1
http://daneden.me/animate,1
de,1
IS,1
immediately,1
--//404--,1
--responsiv--,1
720,1
substantial,1
password,1
it,1
above,1
function,1
clearing,1
--//top_header--,1
web,1
David,1
copy,1
HOLDERS,1
Container,1
Version:,1
adjust,1
persons,1
Perxis.com,1
4.7.0,1
\charge,\,1
License:,1
nicer,1
CSS3,1
INCLUDING,1
(http://github.com/nghuuphuoc/bootstrapvalidator),1
Just,1
--/login--,1
CONNECTION,1
--/toggle--,1
Schmalfeldt,1
Owl,1
--/404--,1
why,1
--graph--,1
profile,1
9,1
vertical-align:,1
thumbnail:,1
Perxis,1
(),1
No,1
not,1
***,1
person,1
Us,1
--/sign-in--,1
719,1
Linearicons,1
via,1
--chat--,1
background-color:#00518f;,1
handlers,1
Source:,1
shiny,1
submit,1
STYLE,1
fancyapps.com,1
background:url(../images/ajax-loader.gif),1
item,1
--//shrare_tips--,1
etc,1
Third,1
\CONTRACT,\,1
Nav,1
Form,1
SHALL,1
details-product-slider--->,1
relative,1
#68cff2,1
NOT,1
FONT,1
(thumbnail,1
Visual,1
Search,1
sub-heard-part-->,1
--/widgets--,1
\2012,\,1
build,1
Permission,1
WARRANTY,1
rights,1
copyright,1
don't,1
old,1
--//ribbon2--,1
\format('woff'),url(https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.svg#Linearicons-Free)\,1
--------------------------------------,1
small,1
Berend,1
Header,1
\area,\,1
1.0,1
you,1
zoom,1
sell,1
WITH,1
About,1
Deutsch,1
portions,1
permission,1
\Saf4+,\,1
--//ribbon-12--,1
v3.0.3,1
AUTHORS,1
--/inner-content-start--,1
-2px,1
**responsive**,1
Second,1
\request,\,1
4.0.3,1
Common,1
window,1
--/tabs--,1
Profile,1
v3.3.4,1
content-inner-->,1
Rendering,1
atributes,1
5-7,1
\different,second\,1
URI:,1
Unicode,1
styles,1
opacity,1
./dev,1
Zoomed,1
Parsing,1
********,1
DEMO,1
-------------------------------------------------------------------------------,1
EVENT,1
\die("\connection\,1
formatting,1
$this->validators;,1
--circle-charts--,1
150px;,1
Catagory,1
nexe,1
Don't,1
--//toggle--,1
PATH,1
\so,\,1
WHETHER,1
graphics,1
\copy,\,1
Eden,1
instance,1
--/switch--,1
#etalage,1
Author:,1
Single,1
v3.0.2,1
LIMITED,1
whom,1
PARTICULAR,1
(https://github.com/nghuuphuoc/bootstrapvalidator),1
fonts.googleapis.com/css?family=Droid+Sans+Mono);,1
\1300,\,1
NO,1
/*,1
PROVIDED,1
thumbs):,1
Free,1
restrictive,1
shall,1
FITNESS,1
\OTHERWISE,\,1
v2.2.1,1
PURPOSE,1
\rgba(0,0,0,0.5));\,1
\CLAIM,\,1
User,1
fancyapps.com/fancybox/#license,1
token,1
\"\center\,1
hack,1
Contact,1
carefully,1
--//ribbon3--,1
Retina,1
Magnifier,1
v0.2.2,1
queries,1
class,1
active,1
Editor's,1
feedback,1
<manifestinteractive@gmail.com>,1
jQVMap,1
OUT,1
\merge,\,1
--dropdown--,1
Left,1
documentation,1
number,1
thumb,1
\publish,\,1
\Jong,\,1
Hint,1
v3.1.1,1
\IS"\,\,1
Edit,1
{,1
