File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\sai_general_store\style.css,1389,1151,910,0,224,0,14,61,0,0
C:\xampp\htdocs\sai_general_store\bank.php,97,74,13,2,23,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\category.php,175,140,5,2,34,0,1,6,0,0
C:\xampp\htdocs\sai_general_store\cat_detail.php,176,131,7,2,44,0,1,6,0,0
C:\xampp\htdocs\sai_general_store\cod.php,186,152,20,4,34,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\contact.php,195,180,0,0,15,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\dbconfig.php,38,22,16,2,16,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\explore.php,372,355,0,0,17,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\form.php,234,226,132,31,4,28,4,151,0,0
C:\xampp\htdocs\sai_general_store\index.php,431,342,42,8,89,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\listing.php,332,317,0,0,15,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\logout.php,6,5,3,0,1,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\msgbox.php,29,22,4,2,7,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\mycart.php,218,182,15,4,36,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\myphp.php,380,315,173,44,65,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\order.php,91,81,18,3,10,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\payment.php,366,315,111,11,39,1,12,79,0,0
C:\xampp\htdocs\sai_general_store\payment1.php,164,132,9,2,32,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\process_booking.php,111,102,35,1,9,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\ragister.php,142,128,37,5,14,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\search_view.php,179,139,8,3,40,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\single-listing.php,452,424,0,0,28,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\upi.php,190,156,20,4,34,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\view_detail.php,213,177,13,5,36,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\view_item_list.php,194,165,31,2,29,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\additem.php,236,168,53,6,68,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\dbconfig.php,26,22,16,2,3,0,1,4,0,0
C:\xampp\htdocs\sai_general_store\admin\edit_book.php,258,187,60,7,71,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\footer_script.php,25,23,14,1,2,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\head.php,20,20,2,0,0,2,0,4,0,0
C:\xampp\htdocs\sai_general_store\admin\header.php,228,211,38,3,16,2,1,4,0,0
C:\xampp\htdocs\sai_general_store\admin\index.php,54,48,7,2,6,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\login.php,191,115,41,5,76,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\logout.php,8,5,3,0,3,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\myphp.php,381,316,174,44,65,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\side_bar.php,53,43,5,2,10,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\table.php,461,430,54,4,30,10,1,15,0,0
C:\xampp\htdocs\sai_general_store\admin\validation.php,25,14,6,3,11,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\view_item_list.php,194,165,31,2,29,1,0,1,0,0
C:\xampp\htdocs\sai_general_store\admin\css\atlas.css,70,57,45,0,13,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\css\bars.css,658,649,474,0,9,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\css\bootstrap-markdown.min.css,1,1,25,0,0,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\css\bootstrap.min.css,5,1,1492,0,0,1,4,29,4,29
C:\xampp\htdocs\sai_general_store\admin\css\chocolat.css,112,111,96,0,0,1,1,17,0,0
C:\xampp\htdocs\sai_general_store\admin\css\clndr.css,440,415,298,0,1,1,24,49,0,1
C:\xampp\htdocs\sai_general_store\admin\css\fabochart.css,93,87,68,0,4,0,2,4,1,1
C:\xampp\htdocs\sai_general_store\admin\css\font-awesome.css,1365,1355,895,0,1,0,9,62,6,28
C:\xampp\htdocs\sai_general_store\admin\css\icon-font.min.css,7,1,0,0,0,1,6,20,6,20
C:\xampp\htdocs\sai_general_store\admin\css\jqvmap.css,53,43,31,0,0,0,10,28,10,28
C:\xampp\htdocs\sai_general_store\admin\css\popuo-box.css,362,325,263,0,23,0,14,40,1,5
C:\xampp\htdocs\sai_general_store\admin\css\style.css,8189,7859,6390,0,221,8,109,247,0,0
C:\xampp\htdocs\sai_general_store\admin\css\vroom.css,249,237,200,0,10,0,2,2,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\checkout.php,190,183,24,2,7,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\contact.php,46,41,2,0,5,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\experiance.php,181,178,5,0,3,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\footer.php,8,7,0,0,1,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\games.php,41,37,0,0,4,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\index.php,57,50,23,2,7,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\login.php,62,58,2,0,4,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\navigation.php,29,26,0,0,3,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\register.php,206,176,96,9,30,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\shop.php,338,330,24,2,8,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\single.php,109,92,0,0,17,2,0,4,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\slider.php,37,37,0,0,0,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\team.php,276,268,28,2,8,1,0,3,0,0
C:\xampp\htdocs\sai_general_store\admin\stadium\css\bootstrap.css,5786,5772,3666,0,6,0,8,30,6,25
C:\xampp\htdocs\sai_general_store\admin\stadium\css\etalage.css,147,108,87,0,11,0,28,177,12,63
C:\xampp\htdocs\sai_general_store\admin\stadium\css\fwslider.css,114,108,89,0,3,2,3,37,1,6
C:\xampp\htdocs\sai_general_store\admin\stadium\css\jquery.fancybox.css,274,230,179,0,40,4,4,53,1,7
C:\xampp\htdocs\sai_general_store\admin\stadium\css\magnific-popup.css,203,177,137,0,22,0,4,15,1,4
C:\xampp\htdocs\sai_general_store\admin\stadium\css\style.css,2034,2013,1638,0,4,4,17,47,0,0
C:\xampp\htdocs\sai_general_store\assets\css\demo.css,71,59,48,0,12,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\assets\css\styles.css,121,99,75,0,21,0,1,3,0,0
C:\xampp\htdocs\sai_general_store\css\bank.css,130,93,712,0,37,7,0,24,0,9
C:\xampp\htdocs\sai_general_store\css\ragister.css,99,98,80,0,1,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\css\bootstrap\bootstrap.min.css,7,1,1710,0,0,1,6,25,5,22
C:\xampp\htdocs\sai_general_store\css\others\animate.css,2745,2331,1818,0,398,0,16,209,0,0
C:\xampp\htdocs\sai_general_store\css\others\font-awesome.min.css,5,1,717,0,1,1,3,23,3,23
C:\xampp\htdocs\sai_general_store\css\others\magnific-popup.css,1,1,67,0,0,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\css\others\owl.carousel.min.css,6,1,34,0,0,0,5,15,5,15
C:\xampp\htdocs\sai_general_store\css\others\pe-icon-7-stroke.css,633,628,421,0,4,0,1,5,0,0
C:\xampp\htdocs\sai_general_store\css\responsive\responsive.css,323,320,221,0,3,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\css\validation\css\bootstrapValidator.css,12,2,1,0,1,0,9,35,9,35
C:\xampp\htdocs\sai_general_store\css\validation\css\bootstrapValidator.min.css,12,1,1,0,2,0,9,36,9,36
